text,url
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
All products,http://books.toscrape.com/index.html
The Requiem Red,http://books.toscrape.com/catalogue/the-requiem-red_995/index.html
Sapiens: A Brief History of Humankind,http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,http://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
The Dirty Little Secrets of Getting Your Dream Job,http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
Soumission,http://books.toscrape.com/catalogue/soumission_998/index.html
Sharp Objects,http://books.toscrape.com/catalogue/sharp-objects_997/index.html
Health,http://books.toscrape.com/catalogue/category/books/health_47/index.html
A Light in the Attic,http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Cultural,http://books.toscrape.com/catalogue/category/books/cultural_49/index.html
Tipping the Velvet,http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
Crime,http://books.toscrape.com/catalogue/category/books/crime_51/index.html
Erotica,http://books.toscrape.com/catalogue/category/books/erotica_50/index.html
Novels,http://books.toscrape.com/catalogue/category/books/novels_46/index.html
All products,http://books.toscrape.com/catalogue/page-2.html
It's Only the Himalayas,http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
Libertarianism for Beginners,http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Politics,http://books.toscrape.com/catalogue/category/books/politics_48/index.html
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
Olio,http://books.toscrape.com/catalogue/olio_984/index.html
Rip it Up and Start Again,http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
Set Me Free,http://books.toscrape.com/catalogue/set-me-free_988/index.html
Shakespeare's Sonnets,http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html
"Starving Hearts (Triangular Trade Trilogy, #1)",http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
Short Stories,http://books.toscrape.com/catalogue/category/books/short-stories_45/index.html
The Black Maria,http://books.toscrape.com/catalogue/the-black-maria_991/index.html
Christian,http://books.toscrape.com/catalogue/category/books/christian_43/index.html
Suspense,http://books.toscrape.com/catalogue/category/books/suspense_44/index.html
Historical,http://books.toscrape.com/catalogue/category/books/historical_42/index.html
Self Help,http://books.toscrape.com/catalogue/category/books/self-help_41/index.html
Academic,http://books.toscrape.com/catalogue/category/books/academic_40/index.html
Contemporary,http://books.toscrape.com/catalogue/category/books/contemporary_38/index.html
Spirituality,http://books.toscrape.com/catalogue/category/books/spirituality_39/index.html
Thriller,http://books.toscrape.com/catalogue/category/books/thriller_37/index.html
Biography,http://books.toscrape.com/catalogue/category/books/biography_36/index.html
Business,http://books.toscrape.com/catalogue/category/books/business_35/index.html
Suzie Snowflake: One beautiful flake (a self-esteem story),http://books.toscrape.com/catalogue/suzie-snowflake-one-beautiful-flake-a-self-esteem-story_568/index.html
The Long Shadow of Small Ghosts: Murder and Memory in an American City,http://books.toscrape.com/catalogue/the-long-shadow-of-small-ghosts-murder-and-memory-in-an-american-city_848/index.html
Amid the Chaos,http://books.toscrape.com/catalogue/amid-the-chaos_788/index.html
Christian Fiction,http://books.toscrape.com/catalogue/category/books/christian-fiction_34/index.html
Food and Drink,http://books.toscrape.com/catalogue/category/books/food-and-drink_33/index.html
History,http://books.toscrape.com/catalogue/category/books/history_32/index.html
Horror,http://books.toscrape.com/catalogue/category/books/horror_31/index.html
Humor,http://books.toscrape.com/catalogue/category/books/humor_30/index.html
The Art and Science of Low Carbohydrate Living,http://books.toscrape.com/catalogue/the-art-and-science-of-low-carbohydrate-living_570/index.html
Dark Notes,http://books.toscrape.com/catalogue/dark-notes_800/index.html
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,http://books.toscrape.com/catalogue/10-day-green-smoothie-cleanse-lose-up-to-15-pounds-in-10-days_581/index.html
"Eat Fat, Get Thin",http://books.toscrape.com/catalogue/eat-fat-get-thin_688/index.html
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",http://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html
Adult Fiction,http://books.toscrape.com/catalogue/category/books/adult-fiction_29/index.html
Parenting,http://books.toscrape.com/catalogue/category/books/parenting_28/index.html
Autobiography,http://books.toscrape.com/catalogue/category/books/autobiography_27/index.html
All products,http://books.toscrape.com/catalogue/page-3.html
All products,http://books.toscrape.com/catalogue/page-1.html
You can't bury them all: Poems,http://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html
Behind Closed Doors,http://books.toscrape.com/catalogue/behind-closed-doors_962/index.html
"In a Dark, Dark Wood",http://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
Sophie's World,http://books.toscrape.com/catalogue/sophies-world_966/index.html
Maude (1883-1993):She Grew Up with the country,http://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html
Penny Maybe,http://books.toscrape.com/catalogue/penny-maybe_965/index.html
